Date,SP500,AAPL,GOOG,IBM,JNJ,K,KO,MSFT,NFLX
2018-12-24,-0.027112,-0.025885,-0.003389,-0.030359,-0.040987,-0.031527,-0.033768,-0.041765,-0.050773
2018-12-26,0.049594,0.070448,0.06478,0.035497,0.031518,0.023775,0.021234,0.068323,0.084616
2018-12-27,0.008563,-0.006479,0.004252,0.021505,0.005519,-0.000179,0.012562,0.006215,0.00749
2018-12-28,-0.001242,0.000516,-0.006514,-0.006568,-0.001114,0.001965,-0.006845,-0.00787,0.001996
2018-12-31,0.008492,0.009615,-0.001417,0.005615,0.014016,-0.00428,0.003231,0.011849,0.04522
2019-01-02,0.001269,0.00115,0.009888,0.013599,-0.010053,-0.006447,-0.009017,-0.004466,0.0
2019-01-03,-0.024757,-0.099591,-0.028484,-0.019991,-0.015946,0.001802,-0.006066,-0.036782,0.013226
2019-01-04,0.034336,0.042683,0.053786,0.039075,0.016769,0.009896,0.019834,0.046466,0.097235
2019-01-07,0.00701,-0.002244,-0.002167,0.007067,-0.006343,0.004632,-0.013037,0.001286,0.059717
2019-01-08,0.009695,0.019083,0.007385,0.014209,0.023221,0.005497,0.01126,0.007309,0.015634
2019-01-09,0.004098,0.016987,-0.001505,0.007176,-0.007954,0.001058,-0.019058,0.014217,-0.000968
2019-01-10,0.004518,0.003222,-0.004029,0.009075,0.006053,0.00599,0.010696,-0.006381,0.014689
2019-01-11,-0.000146,-0.009832,-0.012277,-0.00269,0.000313,0.004904,0.005832,-0.007686,0.039826
2019-01-14,-0.005258,-0.015027,-0.011824,-0.008765,-0.011326,-0.000697,-0.00408,-0.007354,-0.013774
2019-01-15,0.010722,0.020431,0.031071,0.011139,0.008375,0.01308,0.00884,0.02904,0.065177
2019-01-16,0.002222,0.012251,0.003546,-0.000925,-0.010186,-0.003099,-0.013678,0.003456,-0.009164
2019-01-17,0.007591,0.005921,0.008261,0.004629,0.008232,0.00259,0.003034,0.007079,0.005123
2019-01-18,0.013183,0.006145,0.00767,0.013405,0.012405,0.002584,0.011666,0.015008,-0.039894
2019-01-22,-0.014157,-0.022437,-0.025258,-0.010499,-0.014502,-0.012197,0.002349,-0.018903,-0.041109
2019-01-23,0.002203,0.004012,0.004717,0.084635,0.0,0.007304,0.011504,0.009729,-0.009749
2019-01-24,0.001376,-0.007926,-0.001553,-0.002696,-0.013692,-0.024862,-0.012005,-0.004723,0.014535
2019-01-25,0.008489,0.033144,0.015914,0.010813,0.009414,0.002125,-0.006608,0.009112,0.034836
2019-01-28,-0.007847,-0.009202,-0.019166,0.002292,0.005928,0.00583,-0.004292,-0.01947,-0.00707
2019-01-29,-0.001456,-0.010384,-0.00884,0.000381,0.010372,0.001932,0.004957,-0.020432,-0.020139
2019-01-30,0.015549,0.068305,0.026815,0.000381,0.010032,-0.007013,0.00965,0.03349,0.035756
2019-01-31,0.008597,0.007199,0.025077,0.000305,0.010933,0.02048,0.005523,-0.018382,-0.003405
2019-02-01,0.000899,0.000485,-0.005034,-0.002361,0.008454,-0.00519,0.011829,-0.015734,0.001031
2019-02-04,0.006776,0.028395,0.019851,0.008092,-0.009818,0.003652,0.011482,0.028734,0.033809
2019-02-05,0.004708,0.017132,0.011644,0.002726,0.0,0.003812,0.000206,0.014013,0.012723
2019-02-06,-0.002224,0.000347,-0.026841,0.005664,0.000915,0.000345,0.0,-0.011093,-0.010174
2019-02-07,-0.009357,-0.01892,-0.014813,-0.011564,-0.007163,-0.056083,0.003095,-0.00713,-0.021239
2019-02-08,0.000676,0.00118,-0.003322,0.003874,0.00261,-0.008592,0.001646,0.003734,0.008297
2019-02-11,0.000709,-0.005773,-4.6e-05,0.002119,-0.002986,0.005532,0.002259,-0.003911,-0.005294
2019-02-12,0.01289,0.008591,0.024073,0.01533,0.016354,0.015404,0.001025,0.015514,0.041188
2019-02-13,0.003024,-0.004112,-0.001079,0.010859,0.002191,0.007585,0.002661,-0.000754,-0.02278
